Code,Description
4066,MAINTOP BLOCK CROSSWIRED
4067,MAINTOP TABS BENT
4068,WIRE OUT OF MT BLOCK
4070,ELEMENT CLIP SC MISSING
4071,ELEMENT BLOCK MISSING
4073,Element Bracket Wrong
4075,PORC MAINTOP ASM WRONG
4076,PORC MAINTOP DAMAGED
4077,PORC MT DEFECTIVE
4078,PORC MT LOOSE
4079,PORC MT MISSING
4080,PORC MT WRONG
4095,PORC MT SCREENING DEFECT
4096,SS MT SCREENING DEFECT
4097,"Blew Up, Wire Off Maintop"
4125,MICROSWITCH DAMAGED
4130,MICROSWITCH BENT
4310,MODEL PL TICKET DAMAGED
4311,MODEL PL TICKET DEFECT
4312,MODEL PL TICKET ASM WRG
4314,MODEL PL TICKET MISSING
4315,MODEL PL TICKET WRG PART
4316,Model Plate Alignment
4320,Fail Mod/Ticket/Color
4407,OVEN BURNER PIPE WRG PT
4502,CAVITY BROWN LINES
4503,CAVITY DEFECTIVE UPPER
4504,CAVITY DEFECTIVE LOWER
4505,CAVITY DAMAGED UPPER
4506,CAVITY DAMAGED LOWER
4507,CAVITY WRONG PART
4518,CAVITY DAMAGED
4519,CAVITY ASSEMBLED WRONG
4520,CAVITY LOOSE
4555,CAVITY CHIPPED UPPER
4556,CAVITY CHIPPED LOWER
4560,CAVITY PANEL WRONG PART
4561,Cav Side Panel Damaged
4562,Cav Side Panel Defective
4575,Cavity Trim Loose
4576,Cavity Trim Damaged
4577,Cavity Trim Defective
5003,KNOB(S) DEFECTIVE
5004,KNOB(S) LOOSE
5005,KNOB(S) MISSING
5008,KNOB(S) WRONG
5011,KNOB(S) DAMAGED
5014,KNOB(S) ALIGNMENT
5015,KNOB(S) ASSEMBLED WRONG
5025,Knob LED Board Defective
5050,CLEAN NOT SET
5103,INDICATOR LIGHT DEFECT
5104,INDICATOR LIGHT LOOSE
5105,INDICATOR LIGHT MISSING
5107,INDICATOR LIGHT UNPLGD
5108,INDICATOR LIGHT WRONG
5122,INDICATOR LIGHT DAMAGED
5123,INDICATOR LIGHT ASMD WRG
5124,INDICATOR LIGHT ALIGNMNT
5150,SURFACE HOT LIGHT DMGD
5151,SURFACE HOT LIGHT DEFECT
5152,SURFACE HOT LIGHT ASMWRG
5153,SURFACE HOT LIGHT LOOSE
5154,SURFACE HOT LIGHT MISS
5155,SURFACE HOT LIGHT WRONG
5156,SURFACE HOT LIGHT UNPLUG
5200,OVEN LAMP GASKET MISSING
5202,OVEN LAMP DEFECTIVE
5203,OVEN LAMP LOOSE
5204,OVEN LAMP MISSING
5205,OVEN LAMP WRONG
5228,JAM SWITCH DEFECTIVE
5230,OVEN LAMP DAMAGED
5231,OVEN LAMP ASSEMBLED WRG
5232,OVEN LAMP UNPLUGGED
5240,JAM SWITCH HARNESS DEF
5250,Oven Light Glass Asm Wrg
5251,Oven Light Glass Missing
5703,RACK ASSEMBLED WRONG
5705,RACK DEFECTIVE
5707,RACK MISSING
5708,RACK WRONG
5805,OVEN LIGHT WIRE OFF
5911,SENSOR CLIP MISSING
6002,SPARK MODULE DEFECTIVE
6004,SPARK MODULE LOOSE
6007,SPARK MODULE WRONG
6008,SPARK MODULE UNPLUGGED
6010,SPARK MODULE ASMD WRONG
6321,ELEMENT RF DAMAGED
6322,ELEMENT LF DAMAGED
6323,ELEMENT LR DAMAGED
6324,ELEMENT RR DAMAGED
6326,ELEMENT MR DAMAGED
6327,ELEMENT RF DEFECTIVE
6328,ELEMENT LF DEFECTIVE
6329,ELEMENT LR DEFECTIVE
6330,ELEMENT RR DEFECTIVE
6331,ELEMENT MR DEFECTIVE
6332,ELEMENT RF ASMD WRONG
6333,ELEMENT LF ASMD WRONG
6334,ELEMENT LR ASMD WRONG
6335,ELEMENT RR ASMD WRONG
6336,ELEMENT MR ASMD WRONG
6337,ELEMENT RF LOOSE
6338,ELEMENT LF LOOSE
6339,ELEMENT LR LOOSE
6340,ELEMENT RR LOOSE
6341,ELEMENT MR LOOSE
6342,ELEMENT RF MISSING
6343,ELEMENT LF MISSING
6344,ELEMENT LR MISSING
6345,ELEMENT RR MISSING
6346,ELEMENT MR MISSING
6351,ELEM RADIANT DEFECT
6352,ELEM SURF RAD WRG PART
6353,ELEM SURF COIL WRG PART
6355,ELEMENT RF WRONG
6356,ELEMENT LF WRONG
6357,ELEMENT LR WRONG
6358,ELEMENT RR WRONG
6359,ELEMENT MR WRONG
6360,ELEMENT RF UNPLUGGED
6361,ELEMENT LF UNPLUGGED
6362,ELEMENT LR UNPLUGGED
6363,ELEMENT RR UNPLUGGED
6364,ELEMENT MR UNPLUGGED
6365,ELEMENT RF ALIGNMENT
6366,ELEMENT LF ALIGNMENT
6367,ELEMENT LR ALIGNMENT
6368,ELEMENT RR ALIGNMENT
6369,ELEMENT MR ALIGNMENT
6375,MAINTOP ELEMENT MISSING
6380,Surf Elem Cycle Too Slow
6400,ELEMENT WARMER DEF
6401,WARM ZONE UNPLUGGED
6402,WARM ZONE DEFECTIVE
6403,WARM ZONE ASSM WRONG
6502,FLO LIGHT DEFECTIVE
6503,FLO LIGHT LOOSE
6504,FLO LIGHT MISSING
6506,FLO LIGHT WIRE OFF
6510,FLO LT STARTER ASM DMGD
6511,FLO LT STARTER ASM DEF
6575,ELEM ELECTRON RF UNPLUG
6576,ELEM ELECTRON LF UNPLUG
6577,ELEM ELECTRON LR UNPLUG
6578,ELEM ELECTRON RR UNPLUG
6579,ELEM ELECTRON MR UNPLUG
6712,GROMMET MISSING
6720,MIS-PLUG TERM IN BOOT
6725,WIRE IN LOCK
6726,WIRE COVER DAMAGED
6727,WIRE COVER DEFECT
6728,WIRE COVER ASM WRONG
6729,WIRE COVER LOOSE
6730,WIRE COVER MISSING
6731,WIRE COVER WRONG
6732,WIRE UNPLUGGED BKGD
6733,WIRE PLUGGED WRG-BKGD
6734,WIRE OTHER DAMAGED
6735,WIRE OTHER DEFECTIVE
6736,WIRE OTHER ASMD WRONG
6737,WIRE OTHER LOOSE
6738,WIRE OTHER MISSING
6739,WIRE OTHER WRONG
6740,WIRE OTHER UNPLUGGED
6741,WIRE COVER SCREW MISSING
6775,BK Unplugged in Process
6776,BR Unplugged in Process
6802,POWER CORD DEFECTIVE
6803,POWER CORD LOOSE
6804,POWER CORD MISSING
6807,POWER CORD WRONG
